OBSID,PNT_NO,FILTER,DATATYPE,EXT_NO,DATE-OBS,DATE-END,MIDTIME,EXPOSURE,WHEELPOS,RA_PNT,DEC_PNT,PA_PNT,ASPCORR,MOD8CORR,FLATCORR,CLOCKAPP,x_pixel,y_pixel,RA,DEC,delta,r,elong
00031622001,1,U,image,1,2010-02-13T21:14:13,2010-02-13T21:14:58,2010-02-13T21:14:35.500,45.1513604720563,1400,143.447176513842,12.5730176287022,229.981124842451,DIRECT,False,False,False,594.8176329150265,379.525690452028,143.43009,12.50916,5.2081298224034,6.193882070271,176.2648
00031622002,1,UV grism,image,1,2010-02-13T21:16:57,2010-02-13T21:31:41,2010-02-13T21:24:19.000,870.819392180206,200,143.426728741936,12.5023627926016,230.000215784544,NONE,False,False,False,1503.0427063963634,822.112176123152,143.42902,12.50942,5.20815122509867,6.193883424993,176.2559
00031622002,2,UVW1,image,1,2010-02-13T21:15:22,2010-02-13T21:16:50,2010-02-13T21:16:06.000,86.3934855267009,1200,143.426728741936,12.5023627926016,230.000215784544,DIRECT,False,False,False,524.8430914268919,634.5610742308237,143.42992,12.50921,5.20813206333194,6.193882280388,176.2635
00031622002,3,UVW2,event,1,2010-02-13T21:31:47,2010-02-13T21:32:59,2010-02-13T21:32:23.000,70.3360795299588,400,143.426728741936,12.5023627926016,230.000215784544,DIRECT,False,False,False,1061.9277944800172,1277.2904984058457,143.42824,12.50958,5.2081782784966,6.193884548685,176.2485
00031623001,1,U,image,1,2010-02-13T22:51:13,2010-02-13T22:51:59,2010-02-13T22:51:36.000,44.8147348403094,1400,143.440456075904,12.5724675682837,229.981353227265,DIRECT,False,False,False,599.2270733819297,388.4535009872302,143.42211,12.51096,5.20819443697047,6.193895583472,176.1983
00031623002,1,UV grism,image,1,2010-02-13T22:53:56,2010-02-13T22:59:11,2010-02-13T22:56:33.500,310.043587352788,200,143.419687169891,12.5042168037604,229.996519423039,NONE,False,False,False,1500.6829637351861,823.9228551798952,143.42156,12.51109,5.20820402489185,6.193896274126,176.1937
00031623002,1,UV grism,image,2,2010-02-13T23:06:07,2010-02-13T23:09:58,2010-02-13T23:08:02.500,227.602741743162,200,143.419687169891,12.5042168037604,229.996519423039,NONE,False,False,False,1181.0022449423277,599.5386183793748,143.4204,12.51134,5.20823967767003,6.193897873629,176.1831
00031623002,2,UVW1,image,1,2010-02-13T22:52:22,2010-02-13T22:53:50,2010-02-13T22:53:06.000,86.3826196769805,1200,143.419687169891,12.5042168037604,229.996519423039,DIRECT,False,False,False,526.6153127410774,636.3218668388313,143.42194,12.511,5.20819686924651,6.193895792411,176.1969
00031623002,2,UVW1,image,2,2010-02-13T23:04:33,2010-02-13T23:06:01,2010-02-13T23:05:17.000,86.382639329608,1200,143.419687169891,12.5042168037604,229.996519423039,DIRECT,False,False,False,351.1257358237523,519.3672719186598,143.42066,12.51129,5.20822992043699,6.193897489426,176.1856
00031625001,1,V,image,1,2010-02-14T11:23:03,2010-02-14T11:23:55,2010-02-14T11:23:29.000,51.9490294867072,600,143.340240022953,12.5062936293261,229.995026467136,DIRECT,False,False,False,467.3359642674121,675.1106736995305,143.361,12.52459,5.20875889602108,6.194000280094,175.6746
00031625001,1,V,image,2,2010-02-14T11:23:58,2010-02-14T11:32:53,2010-02-14T11:28:25.500,526.342254118393,600,143.340240022953,12.5062936293261,229.995026467136,DIRECT,False,False,False,461.38409754995297,681.7077527372219,143.36049,12.52474,5.20875205165848,6.194000967977,175.6712
